NA,0.05,3,1.7,2.1,2.4,5.6,6.7,6.6,8.9,9.36,11.3,12.5,38.12,35.36,43.2,43.9,45.32,50,50,50,50,50
0.05,NA,4.4,1.2,3.5,3.8,6.6,7.7,7.6,10.2,10.66,12.3,13.5,39.56,36.66,44.6,45.3,46.76,50,50,50,50,50
3,4.4,NA,2.3,1.2,1.1,2.4,3.4,3.2,6.2,6.5,8,9.2,35.53,32.5,40.4,41.1,42.73,48.6,48.01,50,50,50
1.7,1.2,2.3,NA,0.58,1.1,6.4,6.6,4.9,10.5,10.3,12.75,13.45,37,36.3,44.247,44.947,44.2,50,49.48,50,50,50
2.1,3.5,1.2,0.58,NA,0.05,3.8,4,4.6,9.4,9.2,10.3,11,37.3,35.2,43.17,43.87,44.5,50,49.78,50,50,50
2.4,3.8,1.1,1.1,0.05,NA,4.1,4.3,4.9,9.2,9,10.8,11.5,37.4,35,43.26,43.96,44.6,50,49.88,50,50,50
5.6,6.6,2.4,6.4,3.8,4.1,NA,0.11,0.15,2.3,2.6,5.2,6.36,31.9,28.6,36.58,37.28,39.1,44.95,44.38,50,50,50
6.7,7.7,3.4,6.6,4,4.3,0.11,NA,0.1,2.6,2.9,5,6.16,32.1,28.9,36.69,37.39,39.3,45,44.58,50,50,50
6.6,7.6,3.2,6,4.6,4.9,0.15,0.1,NA,2.6,2.9,4.9,6.06,32,28.9,36.69,37.39,39.2,45,44.48,50,50,50
8.9,10.2,6.2,10.5,9.4,9.2,2.3,2.6,2.6,NA,0.13,2.1,2.2,29.35,26.13,33.89,34.59,36.55,42.59,41.83,50,50,50
9.36,10.66,6.5,10.3,9.2,9,2.6,2.9,2.9,0.13,NA,1.05,1.7,28,26,32.59,33.29,35.2,41.24,40.48,49.5,50,50
11.3,12.3,8,12.75,10.3,10.8,5.2,5,4.9,2.1,1.05,NA,0.7,26.3,24.5,31,31.7,33.5,39.54,38.78,48.2,48.68,48.8
12.5,13.5,9.2,13.45,11,11.5,6.36,6.16,6.06,2.2,1.7,0.7,NA,25.25,23.1,29.75,30.45,32.45,38.49,37.73,47.2,47.68,47.8
38.12,39.56,35.53,37,37.3,37.4,31.9,32.1,32,29.35,28,26.3,25.25,NA,1.46,3.97,4.67,7.14,12.6,14.07,22.7,23.12,23.3
35.36,36.66,32.5,36.3,35.2,35,28.6,28.9,28.9,26.13,26,24.5,23.1,1.46,NA,5.6,6.3,8.87,13.97,12.3,24.6,25.02,25.2
43.2,44.6,40.4,44.247,43.17,43.26,36.58,36.69,36.69,33.89,32.59,31,29.75,3.97,5.6,NA,0.14,2.7,7.75,7.85,18.27,18.69,18.87
43.9,45.3,41.1,44.947,43.87,43.96,37.28,37.39,37.39,34.59,33.29,31.7,30.45,4.67,6.3,0.14,NA,1.84,6.9,7,17.5,17.92,18.1
45.32,46.76,42.73,44.2,44.5,44.6,39.1,39.3,39.2,36.55,35.2,33.5,32.45,7.14,8.87,2.7,1.84,NA,1.37,2.47,13.4,13.82,14
50,50,48.6,50,50,50,44.95,45,45,42.59,41.24,39.54,38.49,12.6,13.97,7.75,6.9,1.37,NA,0.68,4.96,5.4,5.7
50,50,48.01,49.48,49.78,49.88,44.38,44.58,44.48,41.83,40.48,38.78,37.73,14.07,12.3,7.85,7,2.47,0.68,NA,9.5,9.9,10.1
50,50,50,50,50,50,50,50,50,50,49.5,48.2,47.2,22.7,24.6,18.27,17.5,13.4,4.96,9.5,NA,0.42,0.6
50,50,50,50,50,50,50,50,50,50,50,48.68,47.68,23.12,25.02,18.69,17.92,13.82,5.4,9.9,0.42,NA,0.3
50,50,50,50,50,50,50,50,50,50,50,48.8,47.8,23.3,25.2,18.87,18.1,14,5.7,10.1,0.6,0.3,NA
